koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition
2.6827683,2.957,79.8,1.19,26.7,FALSE POSITIVE
3.601465336,2.2753,777.7,2.31,50.7,CONFIRMED
3.108251172,2.5048,1867.7,4.43,156.5,FALSE POSITIVE
25.8474958,5.985,537.4,2.4,27.3,CONFIRMED
40.715561,6.894,680.9,2.7,28.9,CONFIRMED
20.42720701,3.447,1273.0,4.42,36.7,FALSE POSITIVE
1.023471798,2.3499,861.4,3.78,63.0,FALSE POSITIVE
0.51872711,1.252,714.1,19.07,93.3,FALSE POSITIVE
17.31711739,3.1518,1473.0,2.04,35.9,CONFIRMED
9.42889884,4.4481,565.4,4.39,50.4,CONFIRMED
1.096583368,2.1188,308.5,1.35,44.3,FALSE POSITIVE
9.95639775,5.615,510.5,28.15,32.9,CANDIDATE
6.50327035,2.591,418.3,1.67,19.0,CONFIRMED
4.09667624,2.19,302.3,1.42,16.2,CONFIRMED
1.196548464,1.2592,224.6,1.25,16.5,CONFIRMED
11.47609015,5.046,182.3,2.07,27.7,CONFIRMED
25.2630467,6.22,125.5,1.71,14.3,CONFIRMED
0.677374687,1.8361,76.7,0.9,38.7,CONFIRMED
10.43547031,3.4167,210.2,1.22,36.7,CONFIRMED
7.41084314,3.245,124.1,0.94,25.6,CONFIRMED
28.59914031,3.6567,1585.1,1.83,53.8,CONFIRMED
24.58716355,3.984,907.5,2.37,35.6,CONFIRMED
12.53248222,4.0168,1145.9,3.24,66.7,CONFIRMED
13.19720694,3.4872,2141.4,4.18,116.2,CONFIRMED
4.08897299,3.585,157.9,2.36,19.0,CONFIRMED
2.866680334,1.1264,712.4,2.93,43.0,FALSE POSITIVE
17.44486016,4.445,826.9,3.24,46.0,CONFIRMED
8.30697421,2.76,158.7,37.99,17.4,FALSE POSITIVE
7.33685101,3.548,325.8,1.52,21.6,CONFIRMED
22.65117451,3.6895,2250.0,7.62,170.1,FALSE POSITIVE
1.204274435,1.3362,185.8,1.19,34.7,FALSE POSITIVE
7.71790675,1.84,306.8,0.9,12.6,CONFIRMED
27.6652847,6.633,469.2,2.21,36.1,CONFIRMED
0.948950734,4.0245,2133.0,36.87,238.6,FALSE POSITIVE
14.55730897,7.7643,956.9,4.32,200.0,CONFIRMED
1.872421727,1.5261,3018.9,5.65,179.0,FALSE POSITIVE
